Date,Open,High,Low,Close,Voulume
2016. 6. 29 오후 4:00:00,4732.93,4787.59,4732.34,4779.25,
2016. 6. 30 오후 4:00:00,4793.75,4843.11,4774.52,4842.67,
2016. 7. 1 오후 4:00:00,4837.18,4880.17,4837.17,4862.57,
2016. 7. 5 오후 4:00:00,4837.06,4839.13,4797.29,4822.9,
2016. 7. 6 오후 4:00:00,4799.32,4861.05,4786.01,4859.16,
2016. 7. 7 오후 4:00:00,4867.47,4889.01,4853.68,4876.81,
2016. 7. 8 오후 4:00:00,4906.66,4959,4901.27,4956.76,
2016. 7. 11 오후 4:00:00,4976.54,5002.5,4976.54,4988.64,
2016. 7. 12 오후 4:00:00,5017.99,5032.1,5009.68,5022.82,
2016. 7. 13 오후 4:00:00,5036.32,5036.38,5002.82,5005.73,
2016. 7. 14 오후 4:00:00,5041.95,5045.18,5025.15,5034.06,
2016. 7. 15 오후 4:00:00,5041.19,5044.81,5018.52,5029.59,
2016. 7. 18 오후 4:00:00,5034.99,5063.53,5030.13,5055.78,
2016. 7. 19 오후 4:00:00,5038.22,5052.24,5028.24,5036.37,
2016. 7. 20 오후 4:00:00,5061.6,5098.25,5053.92,5089.93,
2016. 7. 21 오후 4:00:00,5093.97,5102.78,5061.11,5073.9,
2016. 7. 22 오후 4:00:00,5078.12,5103.52,5064.11,5100.16,
2016. 7. 25 오후 4:00:00,5096.99,5100.72,5082.66,5097.63,
2016. 7. 26 오후 4:00:00,5095.61,5122.3,5084.18,5110.05,
2016. 7. 27 오후 4:00:00,5143.84,5151.06,5120.66,5139.81,
2016. 7. 28 오후 4:00:00,5144.82,5160.16,5130.75,5154.98,
2016. 7. 29 오후 4:00:00,5162.15,5175.81,5140.05,5162.13,
2016. 8. 1 오후 4:00:00,5167.42,5199.13,5158.93,5184.2,
2016. 8. 2 오후 4:00:00,5177.53,5181.02,5109.8,5137.73,
2016. 8. 3 오후 4:00:00,5133.24,5159.74,5128.44,5159.74,
2016. 8. 4 오후 4:00:00,5158.02,5174,5145.39,5166.25,
2016. 8. 5 오후 4:00:00,5190.71,5227.23,5186.25,5221.12,
2016. 8. 8 오후 4:00:00,5223.54,5228.4,5202.18,5213.14,
2016. 8. 9 오후 4:00:00,5216.21,5238.54,5214.95,5225.48,
2016. 8. 10 오후 4:00:00,5227.95,5227.96,5193.8,5204.58,
2016. 8. 11 오후 4:00:00,5222.15,5235.29,5211.25,5228.4,
2016. 8. 12 오후 4:00:00,5219.66,5233.34,5215.55,5232.89,
2016. 8. 15 오후 4:00:00,5242.18,5271.36,5241.14,5262.02,
2016. 8. 16 오후 4:00:00,5247.96,5248.26,5226.78,5227.11,
2016. 8. 17 오후 4:00:00,5228.44,5230.09,5197.23,5228.66,
2016. 8. 18 오후 4:00:00,5226.45,5243.17,5221.84,5240.15,
2016. 8. 19 오후 4:00:00,5229.87,5245.81,5217.65,5238.38,
2016. 8. 22 오후 4:00:00,5231.46,5252.13,5224.63,5244.6,
2016. 8. 23 오후 4:00:00,5265.78,5275.74,5257.9,5260.08,
2016. 8. 24 오후 4:00:00,5254.42,5262.99,5205.64,5217.69,
2016. 8. 25 오후 4:00:00,5207.61,5230.59,5201.64,5212.2,
2016. 8. 26 오후 4:00:00,5219.05,5253.39,5191.86,5218.92,
2016. 8. 29 오후 4:00:00,5223.8,5245.12,5222.34,5232.33,
2016. 8. 30 오후 4:00:00,5229.88,5241.62,5205.61,5222.99,
2016. 8. 31 오후 4:00:00,5216.42,5219.89,5191.18,5213.22,
2016. 9. 1 오후 4:00:00,5218.28,5229.94,5189.36,5227.21,
2016. 9. 2 오후 4:00:00,5249.66,5263.39,5231.02,5249.9,
2016. 9. 6 오후 4:00:00,5260,5275.91,5244,5275.91,
2016. 9. 7 오후 4:00:00,5274.23,5287.61,5261.92,5283.93,
2016. 9. 8 오후 4:00:00,5269.96,5271.01,5248.41,5259.48,
2016. 9. 9 오후 4:00:00,5217.95,5225.93,5125.91,5125.91,
2016. 9. 12 오후 4:00:00,5098.03,5217.88,5097.8,5211.89,
2016. 9. 13 오후 4:00:00,5181.14,5195.03,5131.27,5155.25,
2016. 9. 14 오후 4:00:00,5160.21,5201.34,5159.55,5173.77,
2016. 9. 15 오후 4:00:00,5178.1,5254.78,5176.25,5249.69,
2016. 9. 16 오후 4:00:00,5238.71,5248.6,5218.97,5244.57,
2016. 9. 19 오후 4:00:00,5263.55,5281.07,5222.91,5235.03,
2016. 9. 20 오후 4:00:00,5256.19,5265.18,5235.42,5241.35,
2016. 9. 21 오후 4:00:00,5263.65,5299.4,5233.94,5295.18,
2016. 9. 22 오후 4:00:00,5323.26,5342.88,5320.93,5339.52,
2016. 9. 23 오후 4:00:00,5327.43,5329.71,5301.63,5305.75,
2016. 9. 26 오후 4:00:00,5275.73,5282.27,5254.96,5257.49,
2016. 9. 27 오후 4:00:00,5254.18,5306.81,5251.32,5305.71,
2016. 9. 28 오후 4:00:00,5312.73,5320.62,5284.84,5318.55,
2016. 9. 29 오후 4:00:00,5311.31,5317,5254.52,5269.15,
2016. 9. 30 오후 4:00:00,5288.87,5325.88,5277.88,5312,
2016. 10. 3 오후 4:00:00,5300.29,5308.6,5281.95,5300.87,
2016. 10. 4 오후 4:00:00,5313.49,5323.6,5271.7,5289.66,
2016. 10. 5 오후 4:00:00,5305.28,5330.81,5304.06,5316.02,
2016. 10. 6 오후 4:00:00,5306.59,5315.73,5281.47,5306.85,
2016. 10. 7 오후 4:00:00,5314.92,5315.65,5266.8,5292.4,
2016. 10. 10 오후 4:00:00,5318.46,5340.52,5317.73,5328.67,
2016. 10. 11 오후 4:00:00,5321.82,5321.82,5227.43,5246.79,
2016. 10. 12 오후 4:00:00,5247.91,5257.18,5228.77,5239.02,
2016. 10. 13 오후 4:00:00,5200.3,5228.26,5169.76,5213.33,
2016. 10. 14 오후 4:00:00,5241.26,5258.88,5213.37,5214.16,
2016. 10. 17 오후 4:00:00,5213.69,5219.98,5196.03,5199.82,
2016. 10. 18 오후 4:00:00,5255.32,5264.27,5239.44,5243.84,
2016. 10. 19 오후 4:00:00,5240.33,5253.83,5234.25,5246.41,
2016. 10. 20 오후 4:00:00,5238.2,5252.1,5216.05,5241.83,
2016. 10. 21 오후 4:00:00,5238.65,5259.13,5225.76,5257.4,
2016. 10. 24 오후 4:00:00,5290.31,5311.5,5289.23,5309.83,
2016. 10. 25 오후 4:00:00,5306.47,5310.27,5278.57,5283.4,
2016. 10. 26 오후 4:00:00,5256.4,5280.85,5237.05,5250.27,
2016. 10. 27 오후 4:00:00,5272.19,5274.12,5211.75,5215.97,
2016. 10. 28 오후 4:00:00,5203.7,5232.35,5178.76,5190.1,
2016. 10. 31 오후 4:00:00,5205.09,5206.7,5186.56,5189.13,
2016. 11. 1 오후 4:00:00,5199.77,5201.13,5112.32,5153.58,
2016. 11. 2 오후 4:00:00,5147.28,5156.7,5097.56,5105.57,
2016. 11. 3 오후 4:00:00,5104.7,5115.06,5053.52,5058.41,
2016. 11. 4 오후 4:00:00,5034.41,5087.51,5034.41,5046.37,
2016. 11. 7 오후 4:00:00,5128.99,5169.41,5122.77,5166.17,
2016. 11. 8 오후 4:00:00,5154.99,5214.17,5145.3,5193.49,
2016. 11. 9 오후 4:00:00,5143.86,5258.99,5143.86,5251.07,
2016. 11. 10 오후 4:00:00,5283.48,5302.68,5145.32,5208.8,
2016. 11. 11 오후 4:00:00,5191.82,5241.08,5179.64,5237.11,
2016. 11. 14 오후 4:00:00,5246.33,5247.17,5192.05,5218.4,
2016. 11. 15 오후 4:00:00,5241.35,5287.06,5236.25,5275.62,
2016. 11. 16 오후 4:00:00,5253.74,5299.63,5251.88,5294.58,
2016. 11. 17 오후 4:00:00,5295.07,5334.05,5288.16,5333.97,
2016. 11. 18 오후 4:00:00,5340.97,5346.8,5315.53,5321.51,
2016. 11. 21 오후 4:00:00,5336.78,5369.83,5334.16,5368.86,
2016. 11. 22 오후 4:00:00,5384.75,5392.26,5365.6,5386.35,
2016. 11. 23 오후 4:00:00,5366.55,5380.68,5350.68,5380.68,
